instance,best known hard,best known soft,within 1s obj. val.,within 1s % gap,within 10s obj. val.,within 10s % gap,within 60s obj. val.,within 60s % gap,within 300s obj. val.,within 300s % gap,run time (s)
A,522,515,523.518,0.291,523.518,0.291,523.518,0.291,523.518,0.291,300.071
B,714,691,719.958,0.834,719.958,0.834,717.534,0.495,717.534,0.495,300.226
C,724,699,732.107,1.12,732.107,1.12,732.107,1.12,730.449,0.891,301.041
D,972,944,1046.676,7.683,1046.676,7.683,1046.676,7.683,1003.415,3.232,301.545
E,375,375,379.214,1.124,379.214,1.124,379.214,1.124,379.214,1.124,300.529
F,721,704,727.369,0.883,727.369,0.883,727.369,0.883,727.369,0.883,302.033
G,3282,3178,3584.597,9.22,3584.597,9.22,3584.597,9.22,3584.597,9.22,308.719
H,607,598,633.405,4.35,633.405,4.35,633.405,4.35,631.779,4.082,300.393
I,691,680,741.725,7.341,741.725,7.341,741.725,7.341,741.685,7.335,301.855
J,804,756,848.712,5.561,848.712,5.561,848.712,5.561,842.112,4.74,304.606
K,908,856,979.769,7.904,979.769,7.904,979.769,7.904,971.573,7.001,302.45
