method,routing_variant,instance,best known hard,best known soft,within 1s obj. val.,within 1s % gap,within 10s obj. val.,within 10s % gap,within 60s obj. val.,within 60s % gap,within 300s obj. val.,within 300s % gap,run time (s)
ils,hard,A,522,515,523.518,0.291,523.518,0.291,523.518,0.291,523.518,0.291,300.113
ils,hard,B,714,691,719.958,0.834,719.958,0.834,719.958,0.834,719.958,0.834,300.061
ils,hard,C,724,699,752.273,3.905,732.107,1.12,732.107,1.12,732.107,1.12,300.06
ils,hard,D,972,944,1087.682,11.901,1044.598,7.469,1033.848,6.363,1033.848,6.363,300.075
ils,hard,E,375,375,385.125,2.7,379.214,1.124,378.177,0.847,378.177,0.847,300.006
ils,hard,F,721,704,732.54,1.601,727.369,0.883,727.369,0.883,727.369,0.883,300.204
ils,hard,G,3282,3178,3688.651,12.39,3688.651,12.39,3481.0,6.063,3445.59,4.984,300.245
ils,hard,H,607,598,652.842,7.552,645.936,6.414,616.429,1.553,609.191,0.361,300.15
ils,hard,I,691,680,741.725,7.341,741.725,7.341,741.725,7.341,734.112,6.239,300.744
ils,hard,J,804,756,870.128,8.225,870.128,8.225,817.005,1.618,817.005,1.618,301.152
ils,hard,K,908,856,999.709,10.1,999.709,10.1,964.434,6.215,957.535,5.455,300.157
