trial_number,population_size,elite_size,tournament_size,initial_individual_time_seconds,offspring_improvement_time_seconds,parent1_route_inherit_prob,perturbation_steps,construction_iterations,mean_gap_pct,mean_obj_val
20,9,4,2,1.357854604147208,0.5124983933871926,0.4181216414567864,1,23,9.96927061100858,1552.9460644713934
22,9,3,2,1.7110500747300583,0.7461126082647436,0.41052489087072547,3,23,9.96927061100858,1552.9460644713934
2,11,4,2,1.6467578046597215,0.24081875842904338,0.37058805625390145,1,22,9.96927061100858,1552.9460644713934
23,9,3,2,1.7172335012777153,0.7428733388939839,0.4236431243179365,3,23,9.96927061100858,1552.9460644713934
24,9,3,2,1.3281998295558204,0.7535319563832386,0.37916316541271733,2,22,9.96927061100858,1552.9460644713934
15,11,4,4,1.5002230949818782,0.6327770910743025,0.3303887873524636,1,23,9.96927061100858,1552.9460644713934
7,13,4,4,1.0365149713171733,0.8669397010496103,0.5200680438979062,2,26,10.158667798733612,1554.7339739235176
25,8,3,2,1.3249529959342092,0.7266933265625931,0.3706719613317912,2,24,10.20821527788114,1555.2017021266702
6,6,1,4,1.1597682715301314,0.4640133877774359,0.677506142301577,2,56,10.232072460484055,1563.2026501483663
21,9,3,2,1.712982588303035,0.5453389817426388,0.40825037414239596,1,21,10.311233217166144,1556.1741914735205
26,8,4,2,1.32302692748124,0.30892802480125947,0.3595029543827577,2,37,10.336547111980975,1564.0506560166439
27,8,4,3,1.3126777044214288,0.3219731967976444,0.35770816979156606,2,38,10.336547111980975,1564.0506560166439
28,8,4,3,1.2719075298006983,0.28889455060554475,0.3547791624614227,2,37,10.336547111980975,1564.0506560166439
29,12,4,3,1.2569439238605729,0.27408860623687126,0.3522302214520001,1,36,10.336547111980975,1564.0506560166439
4,14,2,3,0.8422656637061361,0.38228276539969164,0.554661522920229,1,28,10.386890663808419,1561.9868965755952
10,6,3,3,1.0989346548411891,0.4030096277096811,0.6893038619475229,2,49,10.40614422595771,1564.6927044608208
3,9,2,2,1.023715842323917,0.936714608107535,0.37346817350716505,4,47,10.40614422595771,1564.6927044608208
14,11,4,3,1.482608573433461,0.59951485924359,0.3160492692414735,1,41,10.450034839792878,1565.0221109667136
13,11,3,3,1.931930154616858,0.6377295583018329,0.3231807018348912,1,43,10.450034839792878,1565.0221109667136
11,13,3,4,1.9226671382448277,0.7767644499530828,0.3998186431441924,2,32,10.554448432352235,1569.9492205507058
9,9,4,2,0.6197644435854951,0.3110708127477089,0.4703066755930349,4,32,10.554448432352235,1569.9492205507058
17,10,4,4,1.3949939553229425,0.20739189975788375,0.47212050523097693,1,11,10.581415759152916,1566.7048156453536
5,12,2,3,1.5913074082793683,0.2407864779661967,0.5878456099557895,4,15,10.593392174416696,1566.8108418914674
18,10,4,4,1.4117100937135993,0.5556532631252928,0.31000406477402304,1,13,10.635463460796924,1567.2150259488728
12,12,3,3,1.585455163809495,0.8717306402217964,0.7615478279426754,3,30,10.692510510770362,1571.6994953120457
1,7,4,4,1.163263561223304,0.6848672676657162,0.7286301920730571,4,30,10.692510510770362,1571.6994953120457
16,11,4,4,1.7986034528864816,0.6131583245275611,0.34056341890887487,1,10,10.769975912669347,1568.053653589571
19,10,4,2,1.7708584358893802,0.5430675368127997,0.4149207901391395,1,10,10.827672154381675,1568.5983061113354
0,7,1,2,1.5160529302818047,0.4540196317746876,0.6837281251257901,3,19,10.91768730179768,1569.4647456124076
8,13,1,2,0.5585381441606,0.8855892260513489,0.4710624471513246,4,19,10.939105878648066,1569.666936977875
