trial_number,perturbation_steps,construction_iterations,instance,seed,obj_val,gap_pct
0,9,76,D,11,992.334,5.12
0,9,76,D,22,1011.86,7.189
0,9,76,D,33,989.073,4.775
0,9,76,G,11,3521.821,10.819
0,9,76,G,22,3516.675,10.657
0,9,76,G,33,3529.572,11.063
0,9,76,I,11,731.846,7.624
0,9,76,I,22,746.882,9.836
0,9,76,I,33,735.056,8.096
0,9,76,K,11,955.863,11.666
0,9,76,K,22,959.225,12.059
0,9,76,K,33,954.944,11.559
1,8,48,D,11,998.399,5.763
1,8,48,D,22,1001.693,6.112
1,8,48,D,33,989.073,4.775
1,8,48,G,11,3521.821,10.819
1,8,48,G,22,3516.675,10.657
1,8,48,G,33,3529.572,11.063
1,8,48,I,11,739.689,8.778
1,8,48,I,22,743.26,9.303
1,8,48,I,33,735.056,8.096
1,8,48,K,11,973.744,13.755
1,8,48,K,22,959.225,12.059
1,8,48,K,33,954.944,11.559
2,19,99,D,11,992.334,5.12
2,19,99,D,22,1011.86,7.189
2,19,99,D,33,1021.156,8.173
2,19,99,G,11,3521.821,10.819
2,19,99,G,22,3516.675,10.657
2,19,99,G,33,3529.572,11.063
2,19,99,I,11,731.846,7.624
2,19,99,I,22,738.311,8.575
2,19,99,I,33,735.056,8.096
2,19,99,K,11,955.863,11.666
2,19,99,K,22,959.225,12.059
2,19,99,K,33,954.944,11.559
3,20,78,D,11,992.334,5.12
3,20,78,D,22,1011.86,7.189
3,20,78,D,33,1021.156,8.173
3,20,78,G,11,3521.821,10.819
3,20,78,G,22,3516.675,10.657
3,20,78,G,33,3529.572,11.063
3,20,78,I,11,731.846,7.624
3,20,78,I,22,746.882,9.836
3,20,78,I,33,735.056,8.096
3,20,78,K,11,955.863,11.666
3,20,78,K,22,959.225,12.059
3,20,78,K,33,954.944,11.559
4,9,61,D,11,1054.127,11.666
4,9,61,D,22,999.779,5.909
4,9,61,D,33,1012.399,7.246
4,9,61,G,11,3521.821,10.819
4,9,61,G,22,3516.675,10.657
4,9,61,G,33,3529.572,11.063
4,9,61,I,11,731.846,7.624
4,9,61,I,22,746.882,9.836
4,9,61,I,33,735.056,8.096
4,9,61,K,11,955.863,11.666
4,9,61,K,22,959.225,12.059
4,9,61,K,33,954.944,11.559
5,13,75,D,11,992.334,5.12
5,13,75,D,22,1011.86,7.189
5,13,75,D,33,1021.156,8.173
5,13,75,G,11,3521.821,10.819
5,13,75,G,22,3516.675,10.657
5,13,75,G,33,3529.572,11.063
5,13,75,I,11,731.846,7.624
5,13,75,I,22,746.882,9.836
5,13,75,I,33,735.056,8.096
5,13,75,K,11,955.863,11.666
5,13,75,K,22,959.225,12.059
5,13,75,K,33,954.944,11.559
6,20,83,D,11,992.334,5.12
6,20,83,D,22,1011.86,7.189
6,20,83,D,33,1021.156,8.173
6,20,83,G,11,3521.821,10.819
6,20,83,G,22,3516.675,10.657
6,20,83,G,33,3529.572,11.063
6,20,83,I,11,731.846,7.624
6,20,83,I,22,746.882,9.836
6,20,83,I,33,735.056,8.096
6,20,83,K,11,955.863,11.666
6,20,83,K,22,959.225,12.059
6,20,83,K,33,954.944,11.559
7,1,86,D,11,992.334,5.12
7,1,86,D,22,1011.86,7.189
7,1,86,D,33,1021.156,8.173
7,1,86,G,11,3521.821,10.819
7,1,86,G,22,3516.675,10.657
7,1,86,G,33,3529.572,11.063
7,1,86,I,11,731.846,7.624
7,1,86,I,22,746.882,9.836
7,1,86,I,33,735.056,8.096
7,1,86,K,11,955.863,11.666
7,1,86,K,22,959.225,12.059
7,1,86,K,33,954.944,11.559
8,4,69,D,11,1054.127,11.666
8,4,69,D,22,1028.382,8.939
8,4,69,D,33,1012.399,7.246
8,4,69,G,11,3521.821,10.819
8,4,69,G,22,3516.675,10.657
8,4,69,G,33,3529.572,11.063
8,4,69,I,11,731.846,7.624
8,4,69,I,22,746.882,9.836
8,4,69,I,33,735.056,8.096
8,4,69,K,11,955.863,11.666
8,4,69,K,22,959.225,12.059
8,4,69,K,33,954.944,11.559
9,1,72,D,11,1024.26,8.502
9,1,72,D,22,1011.86,7.189
9,1,72,D,33,1021.156,8.173
9,1,72,G,11,3521.821,10.819
9,1,72,G,22,3516.675,10.657
9,1,72,G,33,3529.572,11.063
9,1,72,I,11,731.846,7.624
9,1,72,I,22,746.882,9.836
9,1,72,I,33,735.056,8.096
9,1,72,K,11,955.863,11.666
9,1,72,K,22,959.225,12.059
9,1,72,K,33,954.944,11.559
10,9,40,D,11,998.399,5.763
10,9,40,D,22,999.779,5.909
10,9,40,D,33,989.073,4.775
10,9,40,G,11,3521.821,10.819
10,9,40,G,22,3516.675,10.657
10,9,40,G,33,3529.572,11.063
10,9,40,I,11,735.056,8.096
10,9,40,I,22,741.432,9.034
10,9,40,I,33,735.056,8.096
10,9,40,K,11,967.269,12.999
10,9,40,K,22,946.499,10.572
10,9,40,K,33,954.944,11.559
11,20,83,D,11,992.334,5.12
11,20,83,D,22,1011.86,7.189
11,20,83,D,33,1021.156,8.173
11,20,83,G,11,3521.821,10.819
11,20,83,G,22,3516.675,10.657
11,20,83,G,33,3529.572,11.063
11,20,83,I,11,731.846,7.624
11,20,83,I,22,746.882,9.836
11,20,83,I,33,735.056,8.096
11,20,83,K,11,955.863,11.666
11,20,83,K,22,959.225,12.059
11,20,83,K,33,954.944,11.559
12,1,58,D,11,1010.95,7.092
12,1,58,D,22,1019.782,8.028
12,1,58,D,33,1021.156,8.173
12,1,58,G,11,3521.821,10.819
12,1,58,G,22,3516.675,10.657
12,1,58,G,33,3529.572,11.063
12,1,58,I,11,739.689,8.778
12,1,58,I,22,746.882,9.836
12,1,58,I,33,735.056,8.096
12,1,58,K,11,955.863,11.666
12,1,58,K,22,959.225,12.059
12,1,58,K,33,954.944,11.559
13,14,42,D,11,1006.133,6.582
13,14,42,D,22,1011.455,7.146
13,14,42,D,33,1021.156,8.173
13,14,42,G,11,3521.821,10.819
13,14,42,G,22,3516.675,10.657
13,14,42,G,33,3529.572,11.063
13,14,42,I,11,738.671,8.628
13,14,42,I,22,749.857,10.273
13,14,42,I,33,735.056,8.096
13,14,42,K,11,967.269,12.999
13,14,42,K,22,946.499,10.572
13,14,42,K,33,954.944,11.559
14,14,48,D,11,998.399,5.763
14,14,48,D,22,1011.455,7.146
14,14,48,D,33,1021.156,8.173
14,14,48,G,11,3521.821,10.819
14,14,48,G,22,3516.675,10.657
14,14,48,G,33,3529.572,11.063
14,14,48,I,11,738.671,8.628
14,14,48,I,22,743.26,9.303
14,14,48,I,33,735.056,8.096
14,14,48,K,11,973.744,13.755
14,14,48,K,22,959.225,12.059
14,14,48,K,33,954.944,11.559
15,13,42,D,11,998.399,5.763
15,13,42,D,22,1011.455,7.146
15,13,42,D,33,1021.156,8.173
15,13,42,G,11,3521.821,10.819
15,13,42,G,22,3516.675,10.657
15,13,42,G,33,3529.572,11.063
15,13,42,I,11,738.671,8.628
15,13,42,I,22,741.432,9.034
15,13,42,I,33,735.056,8.096
15,13,42,K,11,998.421,16.638
15,13,42,K,22,947.171,10.651
15,13,42,K,33,954.944,11.559
16,6,92,D,11,992.334,5.12
16,6,92,D,22,1011.86,7.189
16,6,92,D,33,1021.156,8.173
16,6,92,G,11,3521.821,10.819
16,6,92,G,22,3516.675,10.657
16,6,92,G,33,3529.572,11.063
16,6,92,I,11,731.846,7.624
16,6,92,I,22,746.882,9.836
16,6,92,I,33,735.056,8.096
16,6,92,K,11,955.863,11.666
16,6,92,K,22,959.225,12.059
16,6,92,K,33,954.944,11.559
17,7,57,D,11,998.399,5.763
17,7,57,D,22,1011.455,7.146
