setting,instance,seed,obj_val,gap_pct
all,D,11,1006.19,6.588
all,D,22,987.937,4.654
all,D,33,1031.552,9.275
all,D,44,1018.946,7.939
all,D,55,992.334,5.12
all,D,66,1024.26,8.502
all,D,77,989.775,4.849
all,G,11,3464.778,9.024
all,G,22,3353.885,5.534
all,G,33,3476.743,9.4
all,G,44,3426.797,7.829
all,G,55,3385.563,6.531
all,G,66,3445.104,8.405
all,G,77,3534.988,11.233
all,F,11,714.636,1.511
all,F,22,717.39,1.902
all,F,33,717.39,1.902
all,F,44,717.39,1.902
all,F,55,717.39,1.902
all,F,66,713.672,1.374
all,F,77,714.636,1.511
all,K,11,955.863,11.666
all,K,22,936.34,9.385
all,K,33,948.805,10.842
all,K,44,937.679,9.542
all,K,55,932.901,8.984
all,K,66,939.777,9.787
all,K,77,961.463,12.32
without_relocate_best,D,11,1007.27,6.702
without_relocate_best,D,22,992.334,5.12
without_relocate_best,D,33,1021.419,8.201
without_relocate_best,D,44,1017.009,7.734
without_relocate_best,D,55,992.334,5.12
without_relocate_best,D,66,1024.26,8.502
without_relocate_best,D,77,1009.248,6.912
without_relocate_best,G,11,3464.778,9.024
without_relocate_best,G,22,3361.51,5.774
without_relocate_best,G,33,3419.851,7.61
without_relocate_best,G,44,3479.875,9.499
without_relocate_best,G,55,3415.034,7.459
without_relocate_best,G,66,3471.587,9.238
without_relocate_best,G,77,3534.988,11.233
without_relocate_best,F,11,713.672,1.374
without_relocate_best,F,22,717.39,1.902
without_relocate_best,F,33,713.672,1.374
without_relocate_best,F,44,717.39,1.902
without_relocate_best,F,55,709.891,0.837
without_relocate_best,F,66,713.672,1.374
without_relocate_best,F,77,713.609,1.365
without_relocate_best,K,11,955.863,11.666
without_relocate_best,K,22,932.327,8.917
without_relocate_best,K,33,940.81,9.908
without_relocate_best,K,44,939.207,9.72
without_relocate_best,K,55,957.38,11.843
without_relocate_best,K,66,925.932,8.17
without_relocate_best,K,77,961.463,12.32
without_swap_restricted,D,11,1007.27,6.702
without_swap_restricted,D,22,992.334,5.12
without_swap_restricted,D,33,1021.419,8.201
without_swap_restricted,D,44,1018.946,7.939
without_swap_restricted,D,55,992.334,5.12
