setting,instance,seed,operator,proposed,returned_candidate,accepted,improving,new_global_best,candidate_rate,accept_rate,improve_rate,avg_accepted_delta
all,D,11,relocate_best,2,2,2,1,0,1.0,1.0,0.5,-0.47364897264122874
all,D,11,swap_restricted,1,1,1,1,1,1.0,1.0,1.0,-12.390854056744956
all,D,11,remove_reinsert_two,4,4,4,1,1,1.0,1.0,0.25,-4.2285474004445405
all,D,11,ejection_chain_light,1,1,1,1,1,1.0,1.0,1.0,-30.23495599364105
all,D,11,pair_relocate_best,2,2,2,1,0,1.0,1.0,0.5,-0.016669163944015963
all,D,11,swap_two_one,1,1,1,0,0,1.0,1.0,0.0,8.426196106302541
all,D,11,remove_reinsert_three,0,0,0,0,0,,,,
all,D,22,relocate_best,3,3,3,1,1,1.0,1.0,0.3333333333333333,0.4269009308407779
all,D,22,swap_restricted,3,3,3,1,1,1.0,1.0,0.3333333333333333,4.749656835396233
all,D,22,remove_reinsert_two,3,3,3,1,0,1.0,1.0,0.3333333333333333,-2.433126080662229
all,D,22,ejection_chain_light,1,1,1,1,0,1.0,1.0,1.0,-14.248970506188925
all,D,22,pair_relocate_best,3,3,3,2,2,1.0,1.0,0.6666666666666666,-2.504063367965349
all,D,22,swap_two_one,1,1,1,0,0,1.0,1.0,0.0,3.344716138970284
all,D,22,remove_reinsert_three,3,3,3,1,1,1.0,1.0,0.3333333333333333,-4.041106045589686
all,D,33,relocate_best,2,2,2,1,1,1.0,1.0,0.5,-0.41151701558635523
all,D,33,swap_restricted,2,2,2,1,1,1.0,1.0,0.5,0.0
all,D,33,remove_reinsert_two,2,2,2,0,0,1.0,1.0,0.0,0.0
all,D,33,ejection_chain_light,2,2,2,2,1,1.0,1.0,1.0,-11.35484621379021
all,D,33,pair_relocate_best,1,1,1,0,0,1.0,1.0,0.0,7.405919802815333
all,D,33,swap_two_one,0,0,0,0,0,,,,
all,D,33,remove_reinsert_three,3,3,3,2,1,1.0,1.0,0.6666666666666666,-2.0014184100692396
all,D,44,relocate_best,2,2,2,1,0,1.0,1.0,0.5,0.0
all,D,44,swap_restricted,1,1,1,0,0,1.0,1.0,0.0,7.285781290612249
all,D,44,remove_reinsert_two,2,2,2,1,1,1.0,1.0,0.5,-3.8669011736111543
all,D,44,ejection_chain_light,1,1,1,1,1,1.0,1.0,1.0,-12.864840370469892
all,D,44,pair_relocate_best,1,1,1,0,0,1.0,1.0,0.0,8.891089163595552
all,D,44,swap_two_one,1,1,1,0,0,1.0,1.0,0.0,0.22921418944201832
all,D,44,remove_reinsert_three,0,0,0,0,0,,,,
all,D,55,relocate_best,2,2,2,2,1,1.0,1.0,1.0,-15.385311601104036
all,D,55,swap_restricted,1,1,1,0,0,1.0,1.0,0.0,2.45326462861226
all,D,55,remove_reinsert_two,2,2,2,0,0,1.0,1.0,0.0,0.0
all,D,55,ejection_chain_light,1,1,1,0,0,1.0,1.0,0.0,8.799421789397229
all,D,55,pair_relocate_best,0,0,0,0,0,,,,
all,D,55,swap_two_one,2,2,2,1,0,1.0,1.0,0.5,-6.9660806248171525
all,D,55,remove_reinsert_three,1,1,1,0,0,1.0,1.0,0.0,21.797763832631517
all,D,66,relocate_best,3,3,3,1,0,1.0,1.0,0.3333333333333333,1.2666324790270664
all,D,66,swap_restricted,0,0,0,0,0,,,,
all,D,66,remove_reinsert_two,2,2,2,1,1,1.0,1.0,0.5,-3.3147252227997797
all,D,66,ejection_chain_light,1,1,1,0,0,1.0,1.0,0.0,2.82955300851836
all,D,66,pair_relocate_best,1,1,1,1,1,1.0,1.0,1.0,-16.522345630007294
all,D,66,swap_two_one,3,3,3,1,0,1.0,1.0,0.3333333333333333,8.999147258450876
all,D,66,remove_reinsert_three,1,1,1,0,0,1.0,1.0,0.0,0.0
all,D,77,relocate_best,0,0,0,0,0,,,,
all,D,77,swap_restricted,0,0,0,0,0,,,,
all,D,77,remove_reinsert_two,1,1,1,0,0,1.0,1.0,0.0,0.0
all,D,77,ejection_chain_light,3,3,3,1,1,1.0,1.0,0.3333333333333333,-2.2541597296288955
all,D,77,pair_relocate_best,1,1,1,1,1,1.0,1.0,1.0,-27.87391919817935
all,D,77,swap_two_one,2,2,2,1,1,1.0,1.0,0.5,11.016304474851609
all,D,77,remove_reinsert_three,1,1,1,1,1,1.0,1.0,1.0,-20.408354154939843
all,G,11,relocate_best,0,0,0,0,0,,,,
all,G,11,swap_restricted,0,0,0,0,0,,,,
all,G,11,remove_reinsert_two,0,0,0,0,0,,,,
all,G,11,ejection_chain_light,1,1,1,1,1,1.0,1.0,1.0,-57.04315294409571
all,G,11,pair_relocate_best,0,0,0,0,0,,,,
all,G,11,swap_two_one,0,0,0,0,0,,,,
all,G,11,remove_reinsert_three,0,0,0,0,0,,,,
all,G,22,relocate_best,0,0,0,0,0,,,,
all,G,22,swap_restricted,1,1,1,1,1,1.0,1.0,1.0,-13.775631399571921
all,G,22,remove_reinsert_two,0,0,0,0,0,,,,
all,G,22,ejection_chain_light,0,0,0,0,0,,,,
all,G,22,pair_relocate_best,1,1,1,1,1,1.0,1.0,1.0,-31.42691772890521
all,G,22,swap_two_one,0,0,0,0,0,,,,
all,G,22,remove_reinsert_three,1,1,1,1,1,1.0,1.0,1.0,-117.58725218541758
all,G,33,relocate_best,0,0,0,0,0,,,,
all,G,33,swap_restricted,0,0,0,0,0,,,,
all,G,33,remove_reinsert_two,0,0,0,0,0,,,,
all,G,33,ejection_chain_light,1,1,1,1,1,1.0,1.0,1.0,-52.82931018168347
all,G,33,pair_relocate_best,0,0,0,0,0,,,,
all,G,33,swap_two_one,0,0,0,0,0,,,,
all,G,33,remove_reinsert_three,0,0,0,0,0,,,,
all,G,44,relocate_best,0,0,0,0,0,,,,
all,G,44,swap_restricted,1,1,1,1,1,1.0,1.0,1.0,-53.0785813316179
all,G,44,remove_reinsert_two,2,2,2,2,2,1.0,1.0,1.0,-22.971821310707355
all,G,44,ejection_chain_light,0,0,0,0,0,,,,
all,G,44,pair_relocate_best,0,0,0,0,0,,,,
all,G,44,swap_two_one,0,0,0,0,0,,,,
all,G,44,remove_reinsert_three,0,0,0,0,0,,,,
all,G,55,relocate_best,1,1,1,1,1,1.0,1.0,1.0,-30.199533367572258
all,G,55,swap_restricted,0,0,0,0,0,,,,
all,G,55,remove_reinsert_two,2,2,1,0,0,1.0,0.5,0.0,0.0
all,G,55,ejection_chain_light,1,1,1,1,1,1.0,1.0,1.0,-48.73652918358766
all,G,55,pair_relocate_best,0,0,0,0,0,,,,
all,G,55,swap_two_one,0,0,0,0,0,,,,
all,G,55,remove_reinsert_three,1,1,1,1,1,1.0,1.0,1.0,-2.212395417664993
all,G,66,relocate_best,1,1,1,1,1,1.0,1.0,1.0,-28.027133598688124
all,G,66,swap_restricted,1,1,1,1,1,1.0,1.0,1.0,-9.018494819203625
all,G,66,remove_reinsert_two,0,0,0,0,0,,,,
all,G,66,ejection_chain_light,0,0,0,0,0,,,,
all,G,66,pair_relocate_best,0,0,0,0,0,,,,
all,G,66,swap_two_one,0,0,0,0,0,,,,
all,G,66,remove_reinsert_three,1,1,1,1,1,1.0,1.0,1.0,-1.4915043594501185
all,G,77,relocate_best,0,0,0,0,0,,,,
all,G,77,swap_restricted,0,0,0,0,0,,,,
all,G,77,remove_reinsert_two,0,0,0,0,0,,,,
all,G,77,ejection_chain_light,0,0,0,0,0,,,,
all,G,77,pair_relocate_best,0,0,0,0,0,,,,
all,G,77,swap_two_one,1,1,1,1,1,1.0,1.0,1.0,-33.265244762672864
all,G,77,remove_reinsert_three,0,0,0,0,0,,,,
all,F,11,relocate_best,4,4,4,3,0,1.0,1.0,0.75,-5.467853272814125
all,F,11,swap_restricted,2,2,2,1,0,1.0,1.0,0.5,-4.239560512460969
all,F,11,remove_reinsert_two,6,6,6,2,0,1.0,1.0,0.3333333333333333,-10.561394704300957
all,F,11,ejection_chain_light,5,5,5,3,0,1.0,1.0,0.6,-0.49758329966152814
all,F,11,pair_relocate_best,2,2,2,0,0,1.0,1.0,0.0,19.331154311436308
all,F,11,swap_two_one,4,4,4,3,1,1.0,1.0,0.75,-3.3190304761341167
all,F,11,remove_reinsert_three,5,5,5,1,0,1.0,1.0,0.2,14.316009913162157
all,F,22,relocate_best,7,7,7,5,0,1.0,1.0,0.7142857142857143,-5.9912567240065915
all,F,22,swap_restricted,4,4,4,1,0,1.0,1.0,0.25,2.1898220842554394
all,F,22,remove_reinsert_two,5,5,5,1,0,1.0,1.0,0.2,10.006503008196205
all,F,22,ejection_chain_light,1,1,0,0,0,1.0,0.0,0.0,
all,F,22,pair_relocate_best,5,5,5,1,0,1.0,1.0,0.2,6.39048527280786
