setting,operator,mean_proposed,mean_candidate_rate,mean_accept_rate,mean_improve_rate,mean_new_global_best,mean_avg_accepted_delta
all,ejection_chain_light,1.5,1.0,0.9303571428571429,0.5555952380952381,0.32142857142857145,-10.015116649285323
all,pair_relocate_best,1.0714285714285714,1.0,1.0,0.4633333333333333,0.25,-1.3536473636722208
all,relocate_best,1.6428571428571428,1.0,1.0,0.6193121693121693,0.32142857142857145,-6.303629328222609
all,remove_reinsert_three,1.1071428571428572,1.0,1.0,0.5249999999999999,0.35714285714285715,-8.466243957984423
all,remove_reinsert_two,1.9642857142857142,1.0,0.9722222222222222,0.23664021164021165,0.25,-2.5535776322847643
all,swap_restricted,1.0714285714285714,1.0,0.96875,0.49479166666666663,0.25,-4.659142451223262
all,swap_two_one,1.3214285714285714,1.0,1.0,0.5549019607843138,0.21428571428571427,-2.423067644000832
without_ejection_chain_light,pair_relocate_best,1.7142857142857142,1.0,0.9553571428571429,0.5219047619047619,0.4642857142857143,-3.721543524185641
without_ejection_chain_light,relocate_best,1.4285714285714286,1.0,0.984375,0.6458333333333334,0.2857142857142857,-8.94559118738387
without_ejection_chain_light,remove_reinsert_three,1.5,1.0,0.9868421052631579,0.42192982456140343,0.35714285714285715,-9.557719686160567
without_ejection_chain_light,remove_reinsert_two,1.8571428571428572,1.0,1.0,0.20985449735449735,0.17857142857142858,-2.437855231123949
without_ejection_chain_light,swap_restricted,2.0714285714285716,1.0,1.0,0.6753333333333333,0.6428571428571429,-9.038725748580077
without_ejection_chain_light,swap_two_one,1.5357142857142858,1.0,1.0,0.4624649859943977,0.17857142857142858,0.8199104365920852
without_pair_relocate_best,ejection_chain_light,1.5357142857142858,1.0,0.9708333333333334,0.6205952380952381,0.42857142857142855,-8.037731825875465
without_pair_relocate_best,relocate_best,1.25,1.0,1.0,0.5041666666666667,0.21428571428571427,-5.0132520161709175
without_pair_relocate_best,remove_reinsert_three,1.3214285714285714,1.0,1.0,0.49404761904761907,0.2857142857142857,-11.53645992762476
without_pair_relocate_best,remove_reinsert_two,1.6428571428571428,1.0,1.0,0.2246031746031746,0.17857142857142858,-2.7309692190802943
without_pair_relocate_best,swap_restricted,1.4285714285714286,1.0,0.9901960784313725,0.5931372549019608,0.2857142857142857,-8.28923390608164
without_pair_relocate_best,swap_two_one,1.5,1.0,1.0,0.48857142857142855,0.25,0.3025880482434518
without_relocate_best,ejection_chain_light,1.25,1.0,0.96875,0.6145833333333334,0.35714285714285715,-10.441028379803269
without_relocate_best,pair_relocate_best,1.2142857142857142,1.0,0.984375,0.609375,0.4642857142857143,-6.364000725179839
without_relocate_best,remove_reinsert_three,1.2857142857142858,1.0,1.0,0.4882352941176471,0.32142857142857145,-11.685254313130239
without_relocate_best,remove_reinsert_two,1.4285714285714286,1.0,1.0,0.19375,0.10714285714285714,1.40760217808673
without_relocate_best,swap_restricted,1.6428571428571428,1.0,0.9722222222222222,0.7342592592592593,0.39285714285714285,-6.295775208243982
without_relocate_best,swap_two_one,1.2142857142857142,1.0,0.9411764705882353,0.5970588235294118,0.21428571428571427,-3.032757141899916
without_remove_reinsert_three,ejection_chain_light,1.25,1.0,0.9592592592592593,0.5240740740740741,0.32142857142857145,-8.842734687852781
without_remove_reinsert_three,pair_relocate_best,1.3571428571428572,1.0,1.0,0.6755952380952381,0.35714285714285715,-10.147564135372708
without_remove_reinsert_three,relocate_best,1.0357142857142858,1.0,1.0,0.6433333333333333,0.25,-6.874723043677289
without_remove_reinsert_three,remove_reinsert_two,1.5,1.0,1.0,0.3333333333333333,0.17857142857142858,-3.05938706044177
without_remove_reinsert_three,swap_restricted,1.4642857142857142,1.0,1.0,0.5259259259259259,0.2857142857142857,-7.240970586244686
without_remove_reinsert_three,swap_two_one,1.7142857142857142,1.0,0.9722222222222222,0.4714285714285714,0.25,0.6852910103247442
without_remove_reinsert_two,ejection_chain_light,1.5714285714285714,1.0,0.9814814814814815,0.5296296296296297,0.25,-7.886045375371765
