setting,instance,seed,operator,proposed,returned_candidate,accepted,improving,new_global_best,candidate_rate,accept_rate,improve_rate,avg_accepted_delta
relocate_best,D,11,relocate_best,57,57,56,29,3,1.0,0.9824561403508771,0.5087719298245614,-0.6024057301212581
relocate_best,D,22,relocate_best,76,76,76,39,3,1.0,1.0,0.5131578947368421,-0.26751456312785055
relocate_best,D,33,relocate_best,70,70,70,37,5,1.0,1.0,0.5285714285714286,-0.5664797731673941
relocate_best,G,11,relocate_best,11,11,11,5,5,1.0,1.0,0.45454545454545453,-10.413952257847416
relocate_best,G,22,relocate_best,8,8,8,6,4,1.0,1.0,0.75,-17.356661435523506
relocate_best,G,33,relocate_best,12,12,11,7,4,1.0,0.9166666666666666,0.5833333333333334,-6.665506810301395
relocate_best,F,11,relocate_best,261,261,260,130,0,1.0,0.9961685823754789,0.49808429118773945,0.0
relocate_best,F,22,relocate_best,263,263,259,130,1,1.0,0.9847908745247148,0.49429657794676807,-0.057866495200953674
relocate_best,F,33,relocate_best,263,263,262,131,0,1.0,0.9961977186311787,0.49809885931558934,0.0
relocate_best,K,11,relocate_best,20,20,20,11,2,1.0,1.0,0.55,-0.21612860982266965
relocate_best,K,22,relocate_best,18,18,18,9,1,1.0,1.0,0.5,-0.6964515270959295
relocate_best,K,33,relocate_best,17,17,17,9,4,1.0,1.0,0.5294117647058824,-0.8571780592162066
pair_relocate_best,D,11,pair_relocate_best,27,27,26,15,4,1.0,0.9629629629629629,0.5555555555555556,-2.844924433409036
pair_relocate_best,D,22,pair_relocate_best,23,23,22,12,3,1.0,0.9565217391304348,0.5217391304347826,-0.5510599153076844
pair_relocate_best,D,33,pair_relocate_best,19,19,19,10,4,1.0,1.0,0.5263157894736842,-2.0731629629317347
pair_relocate_best,G,11,pair_relocate_best,5,5,5,5,5,1.0,1.0,1.0,-21.683064223760447
pair_relocate_best,G,22,pair_relocate_best,3,3,3,3,3,1.0,1.0,1.0,-50.69443876203089
pair_relocate_best,G,33,pair_relocate_best,4,4,4,3,2,1.0,1.0,0.75,-22.47521757354002
pair_relocate_best,F,11,pair_relocate_best,62,62,59,29,0,1.0,0.9516129032258065,0.46774193548387094,0.31526482418082186
pair_relocate_best,F,22,pair_relocate_best,60,60,60,30,0,1.0,1.0,0.5,0.0
pair_relocate_best,F,33,pair_relocate_best,62,62,59,29,0,1.0,0.9516129032258065,0.46774193548387094,0.3152648241808238
pair_relocate_best,K,11,pair_relocate_best,7,7,7,4,1,1.0,1.0,0.5714285714285714,-0.30452659965174333
pair_relocate_best,K,22,pair_relocate_best,6,6,6,6,6,1.0,1.0,1.0,-4.653837162843312
pair_relocate_best,K,33,pair_relocate_best,5,5,5,4,4,1.0,1.0,0.8,-6.905867443527472
remove_reinsert_three,D,11,remove_reinsert_three,148,148,148,4,4,1.0,1.0,0.02702702702702703,-0.42683957493507574
remove_reinsert_three,D,22,remove_reinsert_three,182,182,181,19,3,1.0,0.9945054945054945,0.1043956043956044,-0.08475895286450476
remove_reinsert_three,D,33,remove_reinsert_three,185,185,185,15,6,1.0,1.0,0.08108108108108109,-0.274238287908542
remove_reinsert_three,G,11,remove_reinsert_three,35,35,35,4,4,1.0,1.0,0.11428571428571428,-2.155032645562044
remove_reinsert_three,G,22,remove_reinsert_three,15,15,15,3,3,1.0,1.0,0.2,-12.60680719175604
remove_reinsert_three,G,33,remove_reinsert_three,19,19,19,5,5,1.0,1.0,0.2631578947368421,-6.889272583699805
remove_reinsert_three,F,11,remove_reinsert_three,356,356,356,31,1,1.0,1.0,0.08707865168539326,-0.010620019529506848
remove_reinsert_three,F,22,remove_reinsert_three,345,345,342,27,3,1.0,0.991304347826087,0.0782608695652174,-0.004268341910578225
remove_reinsert_three,F,33,remove_reinsert_three,347,347,343,20,1,1.0,0.9884726224783862,0.05763688760806916,-0.008028774996304128
remove_reinsert_three,K,11,remove_reinsert_three,52,52,52,5,5,1.0,1.0,0.09615384615384616,-0.8107534541733449
remove_reinsert_three,K,22,remove_reinsert_three,44,44,44,2,2,1.0,1.0,0.045454545454545456,-0.5631809824919443
remove_reinsert_three,K,33,remove_reinsert_three,35,35,35,9,8,1.0,1.0,0.2571428571428571,-1.106278145933444
relocate_best_pair_relocate_best,D,11,relocate_best,17,17,17,11,5,1.0,1.0,0.6470588235294118,-6.7971907116699075
relocate_best_pair_relocate_best,D,11,pair_relocate_best,13,13,13,4,0,1.0,1.0,0.3076923076923077,4.9946445746003025
relocate_best_pair_relocate_best,D,22,relocate_best,18,18,18,13,2,1.0,1.0,0.7222222222222222,-2.9729649394412263
relocate_best_pair_relocate_best,D,22,pair_relocate_best,25,25,25,11,3,1.0,1.0,0.44,2.2693530695617117
relocate_best_pair_relocate_best,D,33,relocate_best,12,12,12,7,2,1.0,1.0,0.5833333333333334,-3.0269841808325473
relocate_best_pair_relocate_best,D,33,pair_relocate_best,13,13,13,6,5,1.0,1.0,0.46153846153846156,-0.09624201462467961
relocate_best_pair_relocate_best,G,11,relocate_best,5,5,5,3,3,1.0,1.0,0.6,-24.701912019009523
relocate_best_pair_relocate_best,G,11,pair_relocate_best,2,2,2,1,1,1.0,1.0,0.5,-12.478136285553092
relocate_best_pair_relocate_best,G,22,relocate_best,0,0,0,0,0,,,,
relocate_best_pair_relocate_best,G,22,pair_relocate_best,3,3,3,3,3,1.0,1.0,1.0,-50.69443876203089
relocate_best_pair_relocate_best,G,33,relocate_best,1,1,1,0,0,1.0,1.0,0.0,1.4531915974330332
relocate_best_pair_relocate_best,G,33,pair_relocate_best,3,3,3,2,2,1.0,1.0,0.6666666666666666,-26.10973908227864
relocate_best_pair_relocate_best,F,11,relocate_best,47,47,47,34,0,1.0,1.0,0.723404255319149,-3.6796870993353936
relocate_best_pair_relocate_best,F,11,pair_relocate_best,43,43,42,15,0,1.0,0.9767441860465116,0.3488372093023256,4.670889621811636
relocate_best_pair_relocate_best,F,22,relocate_best,42,42,42,31,0,1.0,1.0,0.7380952380952381,-3.861375207903133
relocate_best_pair_relocate_best,F,22,pair_relocate_best,44,44,44,17,1,1.0,1.0,0.38636363636363635,3.519437603543746
relocate_best_pair_relocate_best,F,33,relocate_best,31,31,31,21,0,1.0,1.0,0.6774193548387096,-2.4896715230501574
relocate_best_pair_relocate_best,F,33,pair_relocate_best,43,43,41,17,0,1.0,0.9534883720930233,0.3953488372093023,2.449070430777566
relocate_best_pair_relocate_best,K,11,relocate_best,8,8,8,6,2,1.0,1.0,0.75,-2.3183085847066707
relocate_best_pair_relocate_best,K,11,pair_relocate_best,5,5,5,3,1,1.0,1.0,0.6,1.1226554617809144
relocate_best_pair_relocate_best,K,22,relocate_best,0,0,0,0,0,,,,
relocate_best_pair_relocate_best,K,22,pair_relocate_best,5,5,5,5,5,1.0,1.0,1.0,-5.238681767101662
relocate_best_pair_relocate_best,K,33,relocate_best,3,3,3,2,2,1.0,1.0,0.6666666666666666,-2.95231981566432
relocate_best_pair_relocate_best,K,33,pair_relocate_best,5,5,5,3,2,1.0,1.0,0.6,-3.140798196168703
relocate_best_remove_reinsert_three,D,11,relocate_best,61,61,60,29,6,1.0,0.9836065573770492,0.47540983606557374,-0.9361774872913353
relocate_best_remove_reinsert_three,D,11,remove_reinsert_three,44,44,43,10,0,1.0,0.9772727272727273,0.22727272727272727,0.7562613711124233
relocate_best_remove_reinsert_three,D,22,relocate_best,56,56,56,27,1,1.0,1.0,0.48214285714285715,-0.2729822235301315
relocate_best_remove_reinsert_three,D,22,remove_reinsert_three,59,59,59,9,2,1.0,1.0,0.15254237288135594,0.3849390126268275
relocate_best_remove_reinsert_three,D,33,relocate_best,47,47,47,17,0,1.0,1.0,0.3617021276595745,1.314468836790532
relocate_best_remove_reinsert_three,D,33,remove_reinsert_three,54,54,54,12,4,1.0,1.0,0.2222222222222222,-2.1565984014200525
relocate_best_remove_reinsert_three,G,11,relocate_best,7,7,7,4,4,1.0,1.0,0.5714285714285714,-18.52480657601141
