setting,operator,mean_proposed,mean_candidate_rate,mean_accept_rate,mean_improve_rate,mean_new_global_best,mean_avg_accepted_delta
pair_relocate_best,pair_relocate_best,23.583333333333332,1.0,0.9852258757120843,0.6800435764883613,2.6666666666666665,-9.296297452386725
pair_relocate_best_remove_reinsert_three,pair_relocate_best,18.083333333333332,1.0,1.0,0.5440926627320787,1.4166666666666667,-2.6155302373867895
pair_relocate_best_remove_reinsert_three,remove_reinsert_three,18.916666666666668,1.0,0.9913580246913579,0.3185697990951614,2.0,-7.254456721022605
relocate_best,relocate_best,89.66666666666667,1.0,0.9896899985457429,0.5340226278472999,2.6666666666666665,-3.1416787717853816
relocate_best_pair_relocate_best,pair_relocate_best,17.0,1.0,0.9941860465116279,0.5588705932310584,1.9166666666666667,-6.560998778806816
relocate_best_pair_relocate_best,relocate_best,15.333333333333334,1.0,1.0,0.6108199894004731,1.3333333333333333,-5.134722248417985
relocate_best_pair_relocate_best_remove_reinsert_three,pair_relocate_best,19.5,1.0,0.9844753528975166,0.44191662767733547,1.75,-0.5814842754157937
relocate_best_pair_relocate_best_remove_reinsert_three,relocate_best,15.833333333333334,1.0,1.0,0.6068154068154068,0.9166666666666666,-2.8576606232871526
relocate_best_pair_relocate_best_remove_reinsert_three,remove_reinsert_three,16.083333333333332,1.0,1.0,0.4252466129345829,0.8333333333333334,-7.142588177161702
relocate_best_remove_reinsert_three,relocate_best,54.166666666666664,1.0,0.9975373885533506,0.4208129172613538,1.4166666666666667,-1.1884040478713571
relocate_best_remove_reinsert_three,remove_reinsert_three,55.166666666666664,1.0,0.9981060606060606,0.2931636702322618,2.25,-3.587656870971964
remove_reinsert_three,remove_reinsert_three,146.91666666666666,1.0,0.9978568720674973,0.11763958159468313,3.75,-2.0783399129800944
