setting,instance,seed,obj_val,gap_pct
relocate_best,D,11,1023.603,8.432
relocate_best,D,22,1011.455,7.146
relocate_best,D,33,1021.156,8.173
relocate_best,G,11,3376.919,6.259
relocate_best,G,22,3377.822,6.288
relocate_best,G,33,3439.672,8.234
relocate_best,F,11,717.39,1.902
relocate_best,F,22,717.39,1.902
relocate_best,F,33,717.39,1.902
relocate_best,K,11,951.541,11.161
relocate_best,K,22,946.499,10.572
relocate_best,K,33,935.743,9.316
pair_relocate_best,D,11,987.603,4.619
pair_relocate_best,D,22,1009.248,6.912
pair_relocate_best,D,33,1021.419,8.201
pair_relocate_best,G,11,3413.406,7.407
pair_relocate_best,G,22,3364.591,5.871
pair_relocate_best,G,33,3439.672,8.234
pair_relocate_best,F,11,717.39,1.902
pair_relocate_best,F,22,732.377,4.031
pair_relocate_best,F,33,717.39,1.902
pair_relocate_best,K,11,953.731,11.417
pair_relocate_best,K,22,931.302,8.797
pair_relocate_best,K,33,920.414,7.525
remove_reinsert_three,D,11,998.399,5.763
remove_reinsert_three,D,22,992.392,5.126
remove_reinsert_three,D,33,987.937,4.654
remove_reinsert_three,G,11,3446.395,8.445
remove_reinsert_three,G,22,3327.573,4.707
remove_reinsert_three,G,33,3386.043,6.546
remove_reinsert_three,F,11,713.609,1.365
remove_reinsert_three,F,22,713.609,1.365
remove_reinsert_three,F,33,713.609,1.365
remove_reinsert_three,K,11,913.704,6.741
remove_reinsert_three,K,22,934.445,9.164
remove_reinsert_three,K,33,916.224,7.035
relocate_best_pair_relocate_best,D,11,1010.95,7.092
relocate_best_pair_relocate_best,D,22,987.603,4.619
relocate_best_pair_relocate_best,D,33,987.937,4.654
relocate_best_pair_relocate_best,G,11,3373.355,6.147
relocate_best_pair_relocate_best,G,22,3364.591,5.871
relocate_best_pair_relocate_best,G,33,3439.672,8.234
relocate_best_pair_relocate_best,F,11,717.39,1.902
relocate_best_pair_relocate_best,F,22,717.39,1.902
relocate_best_pair_relocate_best,F,33,717.39,1.902
relocate_best_pair_relocate_best,K,11,942.93,10.155
relocate_best_pair_relocate_best,K,22,933.031,8.999
relocate_best_pair_relocate_best,K,33,927.921,8.402
relocate_best_remove_reinsert_three,D,11,1006.19,6.588
relocate_best_remove_reinsert_three,D,22,992.392,5.126
relocate_best_remove_reinsert_three,D,33,989.073,4.775
relocate_best_remove_reinsert_three,G,11,3388.584,6.626
relocate_best_remove_reinsert_three,G,22,3327.573,4.707
relocate_best_remove_reinsert_three,G,33,3386.043,6.546
relocate_best_remove_reinsert_three,F,11,713.609,1.365
relocate_best_remove_reinsert_three,F,22,713.609,1.365
relocate_best_remove_reinsert_three,F,33,713.609,1.365
relocate_best_remove_reinsert_three,K,11,934.655,9.189
relocate_best_remove_reinsert_three,K,22,919.92,7.467
relocate_best_remove_reinsert_three,K,33,924.668,8.022
pair_relocate_best_remove_reinsert_three,D,11,987.603,4.619
pair_relocate_best_remove_reinsert_three,D,22,992.392,5.126
pair_relocate_best_remove_reinsert_three,D,33,989.775,4.849
pair_relocate_best_remove_reinsert_three,G,11,3386.68,6.566
pair_relocate_best_remove_reinsert_three,G,22,3357.449,5.647
pair_relocate_best_remove_reinsert_three,G,33,3395.308,6.838
pair_relocate_best_remove_reinsert_three,F,11,713.609,1.365
pair_relocate_best_remove_reinsert_three,F,22,713.609,1.365
pair_relocate_best_remove_reinsert_three,F,33,713.609,1.365
pair_relocate_best_remove_reinsert_three,K,11,953.731,11.417
pair_relocate_best_remove_reinsert_three,K,22,931.04,8.766
pair_relocate_best_remove_reinsert_three,K,33,921.774,7.684
relocate_best_pair_relocate_best_remove_reinsert_three,D,11,987.603,4.619
relocate_best_pair_relocate_best_remove_reinsert_three,D,22,987.603,4.619
relocate_best_pair_relocate_best_remove_reinsert_three,D,33,989.073,4.775
relocate_best_pair_relocate_best_remove_reinsert_three,G,11,3376.179,6.236
relocate_best_pair_relocate_best_remove_reinsert_three,G,22,3361.51,5.774
relocate_best_pair_relocate_best_remove_reinsert_three,G,33,3414.817,7.452
relocate_best_pair_relocate_best_remove_reinsert_three,F,11,713.609,1.365
relocate_best_pair_relocate_best_remove_reinsert_three,F,22,717.39,1.902
relocate_best_pair_relocate_best_remove_reinsert_three,F,33,713.609,1.365
relocate_best_pair_relocate_best_remove_reinsert_three,K,11,948.613,10.819
relocate_best_pair_relocate_best_remove_reinsert_three,K,22,917.553,7.191
relocate_best_pair_relocate_best_remove_reinsert_three,K,33,925.77,8.151
