trial_number,initial_temp,cooling_rate,iterations_per_temp,construction_iterations,instance,seed,obj_val,gap_pct
0,36.13475446670582,0.9774127352508348,77,35,D,11,1006.19,6.588
0,36.13475446670582,0.9774127352508348,77,35,D,22,992.392,5.126
0,36.13475446670582,0.9774127352508348,77,35,D,33,1024.26,8.502
0,36.13475446670582,0.9774127352508348,77,35,G,11,3391.472,6.717
0,36.13475446670582,0.9774127352508348,77,35,G,22,3327.573,4.707
0,36.13475446670582,0.9774127352508348,77,35,G,33,3386.043,6.546
0,36.13475446670582,0.9774127352508348,77,35,I,11,729.586,7.292
0,36.13475446670582,0.9774127352508348,77,35,I,22,733.609,7.884
0,36.13475446670582,0.9774127352508348,77,35,I,33,735.056,8.096
0,36.13475446670582,0.9774127352508348,77,35,K,11,910.986,6.424
0,36.13475446670582,0.9774127352508348,77,35,K,22,919.92,7.467
0,36.13475446670582,0.9774127352508348,77,35,K,33,925.724,8.145
1,59.071416228555236,0.9549748824803244,122,29,D,11,1006.132,6.582
1,59.071416228555236,0.9549748824803244,122,29,D,22,992.334,5.12
1,59.071416228555236,0.9549748824803244,122,29,D,33,1024.26,8.502
1,59.071416228555236,0.9549748824803244,122,29,G,11,3390.167,6.676
1,59.071416228555236,0.9549748824803244,122,29,G,22,3372.485,6.12
1,59.071416228555236,0.9549748824803244,122,29,G,33,3387.099,6.58
1,59.071416228555236,0.9549748824803244,122,29,I,11,729.586,7.292
1,59.071416228555236,0.9549748824803244,122,29,I,22,733.609,7.884
1,59.071416228555236,0.9549748824803244,122,29,I,33,735.056,8.096
1,59.071416228555236,0.9549748824803244,122,29,K,11,905.615,5.796
1,59.071416228555236,0.9549748824803244,122,29,K,22,919.92,7.467
1,59.071416228555236,0.9549748824803244,122,29,K,33,925.724,8.145
2,185.033996342496,0.998981584177823,11,36,D,11,1006.19,6.588
2,185.033996342496,0.998981584177823,11,36,D,22,992.392,5.126
2,185.033996342496,0.998981584177823,11,36,D,33,1024.26,8.502
2,185.033996342496,0.998981584177823,11,36,G,11,3391.472,6.717
2,185.033996342496,0.998981584177823,11,36,G,22,3327.573,4.707
2,185.033996342496,0.998981584177823,11,36,G,33,3386.043,6.546
