instance,best known hard,best known soft,within 1s obj. val.,within 1s % gap,within 10s obj. val.,within 10s % gap,within 60s obj. val.,within 60s % gap,within 300s obj. val.,within 300s % gap,run time (s)
A,522,515,517.523,0.49,517.523,0.49,517.523,0.49,517.523,0.49,300.731
B,714,691,696.777,0.836,696.777,0.836,694.583,0.519,694.583,0.519,300.219
C,724,699,705.998,1.001,705.998,1.001,705.998,1.001,705.998,1.001,300.088
D,972,944,1014.951,7.516,1014.951,7.516,1014.951,7.516,1014.951,7.516,300.742
E,375,375,379.214,1.124,379.214,1.124,379.214,1.124,379.214,1.124,300.085
F,721,704,714.636,1.511,714.636,1.511,714.636,1.511,713.609,1.365,300.764
G,3282,3178,3466.711,9.085,3466.711,9.085,3466.711,9.085,3466.711,9.085,306.46
H,607,598,620.802,3.813,620.802,3.813,620.802,3.813,614.78,2.806,302.382
I,691,680,735.056,8.096,735.056,8.096,735.056,8.096,725.247,6.654,305.736
J,804,756,810.541,7.214,810.541,7.214,810.541,7.214,808.159,6.899,301.433
K,908,856,953.813,11.427,953.813,11.427,953.813,11.427,920.319,7.514,302.199
