instance,best known hard,best known soft,within 1s obj. val.,within 1s % gap,within 10s obj. val.,within 10s % gap,within 60s obj. val.,within 60s % gap,within 300s obj. val.,within 300s % gap,run time (s)
A,522,515,517.523,0.49,517.523,0.49,517.523,0.49,517.523,0.49,300.037
B,714,691,696.777,0.836,696.777,0.836,696.777,0.836,696.777,0.836,300.07
C,724,699,731.652,4.671,705.998,1.001,705.998,1.001,705.998,1.001,300.06
D,972,944,1044.022,10.596,1024.26,8.502,1024.26,8.502,1024.26,8.502,300.208
E,375,375,385.125,2.7,379.214,1.124,379.214,1.124,378.177,0.847,300.032
F,721,704,718.417,2.048,718.417,2.048,714.636,1.511,713.609,1.365,300.148
G,3282,3178,3611.315,13.635,3611.315,13.635,3467.376,9.106,3388.723,6.631,301.335
H,607,598,641.066,7.202,630.946,5.509,626.956,4.842,626.956,4.842,300.478
I,691,680,735.056,8.096,735.056,8.096,735.056,8.096,727.511,6.987,300.452
J,804,756,830.357,9.836,830.357,9.836,767.232,1.486,765.362,1.238,300.527
K,908,856,970.414,13.366,970.414,13.366,938.997,9.696,917.004,7.127,300.379
