instance,best known hard,best known soft,within 1s obj. val.,within 1s % gap,within 10s obj. val.,within 10s % gap,within 60s obj. val.,within 60s % gap,within 300s obj. val.,within 300s % gap,run time (s)
A,522,515,517.523,0.49,517.523,0.49,517.523,0.49,517.523,0.49,300.094
B,714,691,696.777,0.836,696.777,0.836,696.777,0.836,696.777,0.836,300.012
C,724,699,730.096,4.449,715.605,2.376,705.998,1.001,705.998,1.001,300.236
D,972,944,1044.022,10.596,1024.26,8.502,1024.26,8.502,1024.26,8.502,300.144
E,375,375,385.125,2.7,379.214,1.124,378.177,0.847,378.177,0.847,300.011
F,721,704,718.417,2.048,714.636,1.511,714.636,1.511,713.609,1.365,300.16
G,3282,3178,3611.315,13.635,3611.315,13.635,3558.733,11.98,3394.71,6.819,301.517
H,607,598,641.066,7.202,625.992,4.681,618.231,3.383,616.943,3.168,300.102
I,691,680,735.056,8.096,735.056,8.096,735.056,8.096,727.511,6.987,300.133
J,804,756,830.357,9.836,830.357,9.836,763.082,0.937,763.082,0.937,300.591
K,908,856,970.414,13.366,970.414,13.366,926.874,8.28,914.207,6.8,300.333
